
2022/06/29 11:50:38.193 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 1 134218497 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:38.694 PIInterface::sendAndReceive error calling writeRead, output=5 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:39.195 PIGCSController:sendAndReceive error calling writeRead, output=POS? 2 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:39.695 PIGCSController:sendAndReceive error calling writeRead, output=POS? 2 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:40.196 PIGCSController:sendAndReceive error calling writeRead, output=VOL? 7 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:40.696 PIGCSController:sendAndReceive error calling writeRead, output=TAD? 7 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:41.196 PIGCSController:sendAndReceive error calling writeRead, output=TSP? 7 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:41.697 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 7 83886082 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:42.197 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 7 83886080 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:42.698 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 7 83886081 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:43.198 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 7 83886337 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:43.698 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 7 83886338 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:44.199 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 7 83886339 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:44.699 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 7 83886340 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:45.200 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 7 83886341 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:45.700 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 2 117441280 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:46.201 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 2 117441281 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:46.701 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 2 117441282 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:47.201 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 2 117441280 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:47.702 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 2 117441024 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
2022/06/29 11:50:48.202 PIGCSController:sendAndReceive error calling writeRead, output=SPA? 2 134217984 status=1, error=192.168.50.5:50000 timeout: Resource temporarily unavailable
